Typical Measured Spectrum of Semrock BSP01-633R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
467.6	0.9944
467.8	0.9941
468.0	0.99249
468.2	0.99037
468.4	0.99042
468.6	0.99124
468.8	0.99181
469.0	0.99164
469.2	0.9902
469.4	0.98668
469.6	0.98248
469.8	0.97656
470.0	0.97011
470.2	0.96579
470.4	0.96226
470.6	0.96135
470.8	0.96254
471.0	0.9665
471.2	0.97191
471.4	0.97676
471.6	0.98176
471.8	0.98392
472.0	0.98625
472.2	0.98616
472.4	0.98586
472.6	0.98658
472.8	0.98712
473.0	0.98844
473.2	0.9904
473.4	0.99227
473.6	0.99288
473.8	0.99412
474.0	0.99412
474.2	0.99403
474.4	0.99329
474.6	0.99306
474.8	0.99354
475.0	0.99397
475.2	0.99537
475.4	0.99517
475.6	0.99441
475.8	0.99208
476.0	0.98919
476.2	0.98525
476.4	0.98167
476.6	0.9794
476.8	0.97869
477.0	0.98028
477.2	0.98263
477.4	0.98574
477.6	0.99013
477.8	0.99264
478.0	0.99434
478.2	0.99516
478.4	0.99481
478.6	0.99436
478.8	0.99211
479.0	0.99154
479.2	0.99118
479.4	0.99103
479.6	0.98991
479.8	0.98893
480.0	0.98725
480.2	0.98481
480.4	0.98226
480.6	0.9806
480.8	0.97986
481.0	0.97968
481.2	0.98071
481.4	0.98394
481.6	0.98686
481.8	0.99075
482.0	0.99308
482.2	0.99513
482.4	0.9957
482.6	0.99471
482.8	0.99356
483.0	0.99213
483.2	0.99181
483.4	0.99109
483.6	0.99174
483.8	0.99215
484.0	0.99259
484.2	0.99166
484.4	0.99173
484.6	0.99041
484.8	0.98846
485.0	0.98729
485.2	0.98674
485.4	0.98593
485.6	0.98493
485.8	0.98568
486.0	0.98511
486.2	0.98361
486.4	0.9825
486.6	0.98055
486.8	0.97872
487.0	0.97636
487.2	0.97519
487.4	0.97514
487.6	0.97642
487.8	0.97956
488.0	0.98294
488.2	0.98734
488.4	0.99193
488.6	0.9947
488.8	0.99599
489.0	0.99566
489.2	0.99409
489.4	0.99242
489.6	0.98875
489.8	0.98584
490.0	0.98285
490.2	0.98046
490.4	0.97783
490.6	0.97451
490.8	0.97091
491.0	0.96749
491.2	0.965
491.4	0.9614
491.6	0.96007
491.8	0.95961
492.0	0.96139
492.2	0.96453
492.4	0.96891
492.6	0.97329
492.8	0.97818
493.0	0.98318
493.2	0.98656
493.4	0.98766
493.6	0.98893
493.8	0.98949
494.0	0.98936
494.2	0.98911
494.4	0.99062
494.6	0.99138
494.8	0.99322
495.0	0.9953
495.2	0.9966
495.4	0.99577
495.6	0.99527
495.8	0.99368
496.0	0.99137
496.2	0.98928
496.4	0.98633
496.6	0.98289
496.8	0.98106
497.0	0.97814
497.2	0.97543
497.4	0.97186
497.6	0.96809
497.8	0.96316
498.0	0.95905
498.2	0.95552
498.4	0.9533
498.6	0.95247
498.8	0.95389
499.0	0.95707
499.2	0.96224
499.4	0.96832
499.6	0.97498
499.8	0.98093
500.0	0.98735
500.2	0.99195
500.4	0.99369
500.6	0.99423
500.8	0.99442
501.0	0.99423
501.2	0.99464
501.4	0.99585
501.6	0.9965
501.8	0.99689
502.0	0.99868
502.2	0.99929
502.4	0.99984
502.6	0.99975
502.8	0.99821
503.0	0.99741
503.2	0.99627
503.4	0.99575
503.6	0.99463
503.8	0.99408
504.0	0.99259
504.2	0.99044
504.4	0.98785
504.6	0.98396
504.8	0.97993
505.0	0.97521
505.2	0.97165
505.4	0.96914
505.6	0.96809
505.8	0.96899
506.0	0.97209
506.2	0.97561
506.4	0.9807
506.6	0.98564
506.8	0.99001
507.0	0.99323
507.2	0.99451
507.4	0.99361
507.6	0.99359
507.8	0.99154
508.0	0.98959
508.2	0.98851
508.4	0.98836
508.6	0.98847
508.8	0.99006
509.0	0.99258
509.2	0.99415
509.4	0.99537
509.6	0.99604
509.8	0.99671
510.0	0.99706
510.2	0.99657
510.4	0.99685
510.6	0.99668
510.8	0.99719
511.0	0.99793
511.2	0.99921
511.4	0.9989
511.6	0.99861
511.8	0.99624
512.0	0.99387
512.2	0.99101
512.4	0.9876
512.6	0.98453
512.8	0.98302
513.0	0.98225
513.2	0.98352
513.4	0.98517
513.6	0.98788
513.8	0.9906
514.0	0.99299
514.2	0.99392
514.4	0.99234
514.6	0.99097
514.8	0.98785
515.0	0.98415
515.2	0.98044
515.4	0.97768
515.6	0.97567
515.8	0.97476
516.0	0.97488
516.2	0.97627
516.4	0.97792
516.6	0.97909
516.8	0.97963
517.0	0.98019
517.2	0.97959
517.4	0.97902
517.6	0.97881
517.8	0.97851
518.0	0.97987
518.2	0.98151
518.4	0.98458
518.6	0.98763
518.8	0.99101
519.0	0.99443
519.2	0.99605
519.4	0.9963
519.6	0.99623
519.8	0.99532
520.0	0.99352
520.2	0.99154
520.4	0.99036
520.6	0.98936
520.8	0.98974
521.0	0.99048
521.2	0.99239
521.4	0.99365
521.6	0.99443
521.8	0.99461
522.0	0.99331
522.2	0.99118
522.4	0.98949
522.6	0.98735
522.8	0.98576
523.0	0.98403
523.2	0.98363
523.4	0.98452
523.6	0.98616
523.8	0.98813
524.0	0.99001
524.2	0.99189
524.4	0.9925
524.6	0.99292
524.8	0.99209
525.0	0.99082
525.2	0.99025
525.4	0.98945
525.6	0.98935
525.8	0.98956
526.0	0.99084
526.2	0.99303
526.4	0.99443
526.6	0.99557
526.8	0.9956
527.0	0.99423
527.2	0.99254
527.4	0.98969
527.6	0.98646
527.8	0.98319
528.0	0.98112
528.2	0.97963
528.4	0.98025
528.6	0.98104
528.8	0.98314
529.0	0.98704
529.2	0.9897
529.4	0.99241
529.6	0.99449
529.8	0.99544
530.0	0.99519
530.2	0.99506
530.4	0.99382
530.6	0.99318
530.8	0.99315
531.0	0.99268
531.2	0.99328
531.4	0.99416
531.6	0.99476
531.8	0.99514
532.0	0.99486
532.2	0.99375
532.4	0.99166
532.6	0.98949
532.8	0.98651
533.0	0.98363
533.2	0.98203
533.4	0.98156
533.6	0.98122
533.8	0.98299
534.0	0.98531
534.2	0.98845
534.4	0.99129
534.6	0.99364
534.8	0.99437
535.0	0.99497
535.2	0.99398
535.4	0.99153
535.6	0.98901
535.8	0.98611
536.0	0.98403
536.2	0.98282
536.4	0.98293
536.6	0.98356
536.8	0.98563
537.0	0.98877
537.2	0.99092
537.4	0.99358
537.6	0.99553
537.8	0.99699
538.0	0.99756
538.2	0.9975
538.4	0.99753
538.6	0.99694
538.8	0.99678
539.0	0.99724
539.2	0.99785
539.4	0.99819
539.6	0.99945
539.8	0.99969
540.0	0.99881
540.2	0.99803
540.4	0.99644
540.6	0.99371
540.8	0.99092
541.0	0.98828
541.2	0.98585
541.4	0.98456
541.6	0.98376
541.8	0.98449
542.0	0.98653
542.2	0.98923
542.4	0.99185
542.6	0.99474
542.8	0.99704
543.0	0.99796
543.2	0.99776
543.4	0.99744
543.6	0.9968
543.8	0.99542
544.0	0.99425
544.2	0.99376
544.4	0.99383
544.6	0.99393
544.8	0.99514
545.0	0.9963
545.2	0.99723
545.4	0.99764
545.6	0.99755
545.8	0.9969
546.0	0.99457
546.2	0.99241
546.4	0.99063
546.6	0.98828
546.8	0.98709
547.0	0.98737
547.2	0.98767
547.4	0.98915
547.6	0.99124
547.8	0.9938
548.0	0.99579
548.2	0.99766
548.4	0.99804
548.6	0.99797
548.8	0.99644
549.0	0.99437
549.2	0.99248
549.4	0.99055
549.6	0.98978
549.8	0.98923
550.0	0.98978
550.2	0.99152
550.4	0.99353
550.6	0.9956
550.8	0.99734
551.0	0.99784
551.2	0.99713
551.4	0.99556
551.6	0.99193
551.8	0.98767
552.0	0.98272
552.2	0.97758
552.4	0.97336
552.6	0.97043
552.8	0.96885
553.0	0.96858
553.2	0.96985
553.4	0.97251
553.6	0.97542
553.8	0.97879
554.0	0.98195
554.2	0.98411
554.4	0.98574
554.6	0.98665
554.8	0.98643
555.0	0.98585
555.2	0.98531
555.4	0.98497
555.6	0.98551
555.8	0.9867
556.0	0.98793
556.2	0.98969
556.4	0.99276
556.6	0.99492
556.8	0.99641
557.0	0.99768
557.2	0.99748
557.4	0.99675
557.6	0.99483
557.8	0.99287
558.0	0.99051
558.2	0.98869
558.4	0.98755
558.6	0.9871
558.8	0.98697
559.0	0.98832
559.2	0.98964
559.4	0.99125
559.6	0.99261
559.8	0.99329
560.0	0.99321
560.2	0.99265
560.4	0.99139
560.6	0.98992
560.8	0.98796
561.0	0.98616
561.2	0.98454
561.4	0.98415
561.6	0.98406
561.8	0.98448
562.0	0.98524
562.2	0.98581
562.4	0.98583
562.6	0.9857
562.8	0.98444
563.0	0.98285
563.2	0.98048
563.4	0.97834
563.6	0.97487
563.8	0.97207
564.0	0.97023
564.2	0.96916
564.4	0.96926
564.6	0.97071
564.8	0.97282
565.0	0.97535
565.2	0.97899
565.4	0.98223
565.6	0.98496
565.8	0.98741
566.0	0.98979
566.2	0.99052
566.4	0.9905
566.6	0.99044
566.8	0.98989
567.0	0.98932
567.2	0.98905
567.4	0.98925
567.6	0.98946
567.8	0.99019
568.0	0.99158
568.2	0.99265
568.4	0.99362
568.6	0.99492
568.8	0.99545
569.0	0.99507
569.2	0.99557
569.4	0.99519
569.6	0.99534
569.8	0.9952
570.0	0.9955
570.2	0.99569
570.4	0.99666
570.6	0.99713
570.8	0.99781
571.0	0.99795
571.2	0.99742
571.4	0.9966
571.6	0.99538
571.8	0.99385
572.0	0.99128
572.2	0.98886
572.4	0.98642
572.6	0.98454
572.8	0.9836
573.0	0.98313
573.2	0.98371
573.4	0.98456
573.6	0.986
573.8	0.98739
574.0	0.98943
574.2	0.99031
574.4	0.99095
574.6	0.9909
574.8	0.99011
575.0	0.98852
575.2	0.98642
575.4	0.9847
575.6	0.98315
575.8	0.98113
576.0	0.98026
576.2	0.97921
576.4	0.97903
576.6	0.97923
576.8	0.97964
577.0	0.9793
577.2	0.97847
577.4	0.97707
577.6	0.97535
577.8	0.97224
578.0	0.96981
578.2	0.96725
578.4	0.96496
578.6	0.9632
578.8	0.96317
579.0	0.96346
579.2	0.96558
579.4	0.96875
579.6	0.97286
579.8	0.97691
580.0	0.98182
580.2	0.98647
580.4	0.98982
580.6	0.99263
580.8	0.99396
581.0	0.99394
581.2	0.99319
581.4	0.99176
581.6	0.98975
581.8	0.98746
582.0	0.98545
582.2	0.98387
582.4	0.98285
582.6	0.98259
582.8	0.98267
583.0	0.98324
583.2	0.98375
583.4	0.98394
583.6	0.98443
583.8	0.9846
584.0	0.98458
584.2	0.98414
584.4	0.98379
584.6	0.98374
584.8	0.9834
585.0	0.98429
585.2	0.98521
585.4	0.98649
585.6	0.98868
585.8	0.99067
586.0	0.9926
586.2	0.99472
586.4	0.99651
586.6	0.99741
586.8	0.99786
587.0	0.99788
587.2	0.99725
587.4	0.99642
587.6	0.99528
587.8	0.99425
588.0	0.99369
588.2	0.99337
588.4	0.99304
588.6	0.99331
588.8	0.99408
589.0	0.99481
589.2	0.99527
589.4	0.99626
589.6	0.99694
589.8	0.99743
590.0	0.99771
590.2	0.99777
590.4	0.9979
590.6	0.99782
590.8	0.99805
591.0	0.99769
591.2	0.99736
591.4	0.99723
591.6	0.99649
591.8	0.99522
592.0	0.9931
592.2	0.99111
592.4	0.98804
592.6	0.98502
592.8	0.98168
593.0	0.97867
593.2	0.97631
593.4	0.97504
593.6	0.97455
593.8	0.97516
594.0	0.97734
594.2	0.97992
594.4	0.98309
594.6	0.98682
594.8	0.99008
595.0	0.99328
595.2	0.99579
595.4	0.99668
595.6	0.99648
595.8	0.99522
596.0	0.99355
596.2	0.9913
596.4	0.98948
596.6	0.98759
596.8	0.98672
597.0	0.98628
597.2	0.98754
597.4	0.98857
597.6	0.99087
597.8	0.99296
598.0	0.99478
598.2	0.99603
598.4	0.99638
598.6	0.996
598.8	0.9947
599.0	0.99252
599.2	0.99062
599.4	0.98841
599.6	0.98718
599.8	0.98621
600.0	0.9862
600.2	0.98638
600.4	0.98742
600.6	0.98822
600.8	0.98859
601.0	0.98779
601.2	0.98591
601.4	0.98174
601.6	0.97608
601.8	0.96891
602.0	0.96136
602.2	0.95325
602.4	0.94591
602.6	0.94016
602.8	0.93622
603.0	0.93391
603.2	0.93432
603.4	0.93778
603.6	0.94258
603.8	0.94919
604.0	0.95718
604.2	0.96545
604.4	0.97303
604.6	0.97971
604.8	0.98482
605.0	0.98916
605.2	0.99069
605.4	0.9914
605.6	0.99142
605.8	0.99053
606.0	0.98994
606.2	0.98887
606.4	0.9878
606.6	0.98675
606.8	0.98615
607.0	0.98371
607.2	0.98087
607.4	0.97708
607.6	0.97261
607.8	0.96716
608.0	0.9608
608.2	0.95461
608.4	0.95059
608.6	0.94838
608.8	0.94758
609.0	0.94942
609.2	0.95281
609.4	0.95775
609.6	0.96376
609.8	0.97077
610.0	0.97805
610.2	0.98425
610.4	0.98881
610.6	0.99216
610.8	0.99424
611.0	0.99436
611.2	0.99341
611.4	0.99145
611.6	0.98894
611.8	0.98577
612.0	0.98283
612.2	0.9791
612.4	0.97546
612.6	0.97018
612.8	0.96447
613.0	0.95867
613.2	0.95174
613.4	0.94479
613.6	0.93802
613.8	0.93194
614.0	0.92763
614.2	0.92537
614.4	0.92427
614.6	0.92543
614.8	0.92864
615.0	0.93297
615.2	0.93788
615.4	0.94288
615.6	0.94903
615.8	0.95341
616.0	0.95755
616.2	0.96098
616.4	0.96365
616.6	0.96447
616.8	0.96448
617.0	0.96369
617.2	0.96166
617.4	0.95842
617.6	0.95398
617.8	0.94971
618.0	0.94623
618.2	0.94245
618.4	0.94007
618.6	0.93817
618.8	0.93754
619.0	0.93555
619.2	0.93381
619.4	0.93061
619.6	0.9261
619.8	0.91452
620.0	0.8881
620.2	0.83197
620.4	0.73671
620.6	0.60674
620.8	0.46561
621.0	0.3426
621.2	0.25098
621.4	0.18957
621.6	0.17252
621.8	0.13098
622.0	0.12483
622.2	0.13347
622.4	0.14168
622.6	0.10713
622.8	0.04851
623.0	0.01415
623.2	0.00514
623.4	0.00217
623.6	0.00101
623.8	5.1232e-04
624.0	2.8366e-04
624.2	1.657e-04
624.4	7.6261e-05
624.6	5.0796e-05
624.8	3.3834e-05
625.0	2.299e-05
625.2	1.5702e-05
625.4	9.8725e-06
625.6	5.093e-06
625.8	3.7406e-06
626.0	3.0177e-06
626.2	2.3722e-06
626.4	1.7499e-06
626.6	1.2909e-06
626.8	8.549e-07
627.0	5.9022e-07
627.2	4.8406e-07
627.4	3.9698e-07
627.6	3.4287e-07
627.8	3.0036e-07
628.0	2.2573e-07
628.2	1.155e-07
628.4	1.1665e-07
628.6	1.4193e-07
628.8	1.6053e-07
629.0	1.5121e-07
629.2	1.4242e-07
629.4	1.1777e-07
629.6	1.0e-07
629.8	1.0e-07
630.0	1.0e-07
630.2	1.0e-07
630.4	1.0e-07
630.6	1.0e-07
630.8	1.0e-07
631.0	1.0e-07
631.2	1.0e-07
631.4	1.0e-07
631.6	1.0e-07
631.8	1.0e-07
632.0	1.0e-07
632.2	1.0e-07
632.4	1.0e-07
632.6	1.0e-07
632.8	1.0e-07
633.0	1.0e-07
633.2	1.0e-07
633.4	1.0e-07
633.6	1.0e-07
633.8	1.0827e-07
634.0	1.1958e-07
634.2	1.3208e-07
634.4	1.4587e-07
634.6	1.6111e-07
634.8	1.7794e-07
635.0	1.9653e-07
635.2	2.1551e-07
635.4	2.0623e-07
635.6	1.9736e-07
635.8	1.8886e-07
636.0	1.8073e-07
636.2	1.7295e-07
636.4	1.655e-07
